TOURNAMENT_ID,TOURNAMENT_NAME,TOURNAMENT_SLUG,COUNTRY
203,Russian Premier League,premier-liga,Russia
91,Russian Cup,russian-cup,Russia
270,Africa Cup of Nations,africa-cup-of-nations,Africa
1848,Africa Cup of Nations Qual.,africa-cup-of-nations-qual,Africa
152,Romanian Super Liga,superliga,Romania
210,Mozzart Bet Superliga,mozzart-bet-superliga,Serbia
53,Serie B,serie-b,Italy
36,Scottish Premiership,premiership,Scotland
332,Scottish League Cup,scottish-league-cup,Scotland
246,AFC Asian Cup,afc-asian-cup,Asia
196,J1 League,j1-league,Japan
493,Regionalliga West,regionalliga-west,Germany Amateur
185,Stoiximan Super League,stoiximan-super-league,Greece
96,Türkiye Kupası,turkiye-kupasi,Turkey
955,Saudi Pro League,saudi-pro-league,Saudi Arabia
377,Gaúcho,gaucho,Brazil
20,Eliteserien,eliteserien,Norway
1129,"Premier League 2, Division 1",premier-league-2-division-1,England Amateur
98,Trendyol 1.Lig,trendyol-1lig,Turkey
13475,Copa de la Liga Profesional,copa-de-la-liga-profesional,Argentina
13363,USL Championship,usl-championship,USA
216,Challenge League,challenge-league,Switzerland
170,HNL,hnl,Croatia
202,Ekstraklasa,ekstraklasa,Poland
44,2. Bundesliga,2-bundesliga,Germany
42,Regionalliga Nord,regionalliga-nord,Germany Amateur
343,"Serie C, Playoffs",serie-c-playoffs,Italy
215,Swiss Super League,super-league,Switzerland
1015,Liga 1,liga-1,Indonesia
490,CONMEBOL Recopa,conmebol-recopa,South America
375,Greek Cup Betsson,greek-cup-betsson,Greece
40,Allsvenskan,allsvenskan,Sweden
14602,Supercopa do Brasil,supercopa-do-brasil,Brazil
46,Superettan,superettan,Sweden
20708,UEFA-CONMEBOL Club Challenge,uefa-conmebol-club-challenge,World
10772,Copinha,copinha,Brazil
505,TFF Süper Kupa,tff-super-kupa,Turkey
187,NB I,nb-i,Hungary
308,World Championship Qual. AFC,world-championship-qual-afc,Asia
1079,Regionalliga Südwest,regionalliga-sudwest,Germany Amateur
393,Japanese Super Cup,japanese-super-cup,Japan
491,3. Liga,3-liga,Germany
266,Israeli Premier League,israeli-premier-league,Israel
211,Niké Liga,nike-liga,Slovakia
247,Parva Liga,parva-liga,Bulgaria
222,WWIN Premijer Liga,wwin-premijer-liga,Bosnia & Herzegovina
11705,Supercopa Uruguaya,supercopa-uruguaya,Uruguay
11653,Chilean Primera División,primera-division,Chile
915,Persian Gulf Pro League,persian-gulf-pro-league,Iran
11540,"Primera División, Apertura",primera-division-apertura,Paraguay
11541,"Primera División, Clausura",primera-division-clausura,Paraguay
334,Football League Trophy,football-league-trophy,England
11621,"Liga MX, Apertura",liga-mx-apertura,Mexico
11620,"Liga MX, Clausura",liga-mx-clausura,Mexico
498,CONCACAF Champions Cup,concacaf-champions-cup,North & Central America
14,World Championship Qual. CONCACAF,world-championship-qual-concacaf,North & Central America
445,ÖFB Cup,ofb-cup,Austria
13783,Leagues Cup,leagues-cup,North & Central America
281,Puchar Polski,puchar-polski,Poland
229,Betclic 1. Liga,i-liga,Poland
24,League One,league-one,England
800,Croatian Super Cup,croatian-super-cup,Croatia
171,Cypriot First Division,1-division,Cyprus
11445,"Serie C, Girone A",serie-c-girone-a,Italy
1309,Supercopa de Chile,supercopa-de-chile,Chile
136,A-League Men,a-league-men,Australia
1786,Australia Cup,australia-cup,Australia
777,K League 2,k-league-2,South Korea
1900,Indian Super League,indian-super-league,India
186,Super League 2,super-league-2,Greece
9,Challenger Pro League,challenger-pro-league,Belgium
460,Confederations Cup,confederations-cup,World
25,League Two,league-two,England
135,2. Liga,2-liga,Austria
11452,"Serie C, Playoffs",serie-c-playoffs,Italy
721,Mozzart Bet Prva Liga,mozzart-bet-prva-liga,Serbia
1085,Regionalliga Bayern,regionalliga-bayern,Germany Amateur
80,Svenska Cupen,svenska-cupen,Sweden
92,Carioca,carioca,Brazil
2084,U23 Toulon Tournament,u23-toulon-tournament,World
22716,OFC Men's Nations Cup,ofc-mens-nations-cup,Oceania
380,Pernambucano,pernambucano,Brazil
1596,Copa do Nordeste,copa-do-nordeste,Brazil
173,National League,national-league,England
19546,U20 AFC Asian Cup,u20-afc-asian-cup,Asia
410,K League 1,k-league-1,South Korea
188,Besta deild karla,besta-deild-karla,Iceland
10618,"World Championship Qual., Inter-Confederation",world-championship-qual-inter-confederation,World
358,South African Premier Division,premiership,South Africa
207,Scottish League One,league-one,Scotland
192,Premier Division,premier-division,Ireland
28,AFC Asian Cup Qual.,afc-asian-cup-qual,Asia
602,ASEAN Championship,aff-mitsubishi-electric-cup,Asia
22,Norwegian 1st Division,1st-division,Norway
374,Baiano,baiano,Brazil
11447,"Serie C, Girone B",serie-c-girone-b,Italy
668,AFC Champions League Two,afc-cup,Asia
254,Cymru Premier,cymru-premier,Wales
11542,"Primera División, Clausura",primera-division-clausura,Costa Rica
429,U17 European Championship,u17-european-championship,Europe
47,Danish 1st Division,1st-division,Denmark
41,Veikkausliiga,veikkausliiga,Finland
11446,"Serie C, Girone C",serie-c-girone-c,Italy
397,Russian Supercup,russian-supercup,Russia
11096,Regionalliga Playoffs,regionalliga-playoffs,Germany Amateur
55,Ykkösliiga,ykkosliiga,Finland
406,Peruvian Primera División,liga-1,Peru
18436,Trofeo de Campeones de la Liga Profesional,trofeo-de-campeones-de-la-liga-profesional,Argentina
1083,Regionalliga Nordost,regionalliga-nordost,Germany Amateur
704,Erovnuli Liga,erovnuli-liga,Georgia
685,Moldovan Super Liga,super-liga,Moldova
291,Slovenia Cup,slovenia-cup,Slovenia
212,PrvaLiga,prvaliga,Slovenia
1374,"Serie D, Girone A",serie-d-girone-a,Italy
1054,CAF Champions League,caf-champions-league,Africa
570,"Lega Pro Sec Div, Gir B",lega-pro-sec-div-gir-b,Italy
231,Liga FUTVE,primera-division,Venezuela
13579,"Serie C, Play-out",serie-c-play-out,Italy
197,Virsliga,virsliga,Latvia
1376,"Serie D, Girone B",serie-d-girone-b,Italy
569,"Lega Pro Sec Div, Gir A",lega-pro-sec-div-gir-a,Italy
344,"Lega Pro, Girone B",lega-pro-girone-b,Italy
1380,"Serie D, Girone D",serie-d-girone-d,Italy
1386,"Serie D, Girone G",serie-d-girone-g,Italy
19886,Esiliiga B,esiliiga-b,Estonia
178,Premium Liiga,premium-liiga,Estonia
703,Primera Nacional,primera-nacional,Argentina
532,2. SNL,2-snl,Slovenia
1388,"Serie D, Girone H",serie-d-girone-h,Italy
1390,"Serie D, Girone I",serie-d-girone-i,Italy
204,First League,1-liga,Russia
198,A Lyga,a-lyga,Lithuania
1369,UAE League Cup,uae-league-cup,United Arab Emirates
240,LigaPro Serie A,ligapro-serie-a,Ecuador
14660,Supercopa Ecuador,super-copa,Ecuador
1250,CAF Super Cup,caf-super-cup,Africa
637,African Nations Championship,african-nations-championship,Africa
2060,Nigeria Professional Football League,professional-league,Nigeria
1258,NPL South Australia,npl-south-australia,Australia
13998,Arab Club Champions Cup,arab-club-champions-cup,World
682,Kazakhstan Premier League,premier-league,Kazakhstan
22551,Kazakhstan League Cup,kazakhstan-league-cup,Kazakhstan
629,Maltese Premier League,premier-league,Malta
1115,CAF Confederations Cup,caf-confederations-cup,Africa
9230,Canadian Championship,canadian-championship,Canada
808,Egyptian Premier League,premier-league,Egypt
2119,Saudi Super Cup,saudi-super-cup,Saudi Arabia
937,Botola Pro,botola-pro,Morocco
3079,CFA Super Cup,cfa-super-cup,China
511,Superpuchar Polski,superpuchar-polski,Poland
772,Uzbekistan Super League,super-league,Uzbekistan
773,Kazakhstan Super Cup,kazakhstan-super-cup,Kazakhstan
2304,UAE Super Cup,uae-super-cup,United Arab Emirates
154,Meridianbet 1. CFL,meridianbet-1-cfl,Montenegro
22437,Kings World Cup,kings-world-cup,World
1234,"Paulista, Série A2",paulista-serie-a2,Brazil
709,Misli Premier League,misli-premier-league,Azerbaijan
825,Stars League,stars-league,Qatar
1281,Brasileirão Série C,brasileirao-serie-c,Brazil
381,Goiano,goiano,Brazil
376,Catarinense,catarinense,Brazil
13362,USL League One,usl-league-one,USA
11535,"Primera División, Apertura",primera-division-apertura,Costa Rica
378,Cearense,cearense,Brazil
2103,Trofeo de Campeon de Campeones,trofeo-de-campeon-de-campeones,Mexico
11402,Tweede Divisie,tweede-divisie,Netherlands
1268,NPL Queensland,npl-queensland,Australia
841,Algerian Ligue 1,ligue-1,Algeria
971,UAE Pro League,uae-pro-league,United Arab Emirates
219,Super Cup,super-cup,Ukraine
21998,U20 Paranaense,u20-paranaense,Brazil
169,Vysshaya Liga,vysshaya-liga,Belarus
678,Esiliiga,esiliiga,Estonia
671,IDBank Premier League,idbank-premier-league,Armenia
691,Persha Liha,persha-liha,Ukraine
19980,Druha Liga,druha-liga,Ukraine
9413,AlbiMall Superliga,albimall-superliga,Kosovo
739,Montenegrin Cup,montenegrin-cup,Montenegro
65,Danish 2nd Division,2nd-division,Denmark
673,Faroe Islands Premier League,premier-league,Faroe Islands
200,NIFL Premiership,premiership,Northern Ireland
13470,Canadian Premier League,canadian-premier-league,Canada
1754,Supercopa MX,supercopa-mx,Mexico
18641,MLS Next Pro,mls-next-pro,USA
16736,División Profesional,division-profesional,Bolivia
20079,Hrvoje Ćustić International Football Tournament,hrvoje-custic-international-football-tournament,Croatia Amateur
206,Scottish Championship,championship,Scotland
1339,NB II,nb-ii,Hungary
1240,Primera B de Chile,primera-b,Chile
19122,2. NL,2-nl,Croatia
2292,Campionato Primavera 1,campionato-primavera-1,Italy
19132,3. NL - Centar,3-nl-centar,Croatia
1274,NPL New South Wales,npl-new-south-wales,Australia
11611,"Liga de Expansión MX, Apertura",liga-de-expansion-mx-apertura,Mexico
11612,"Liga de Expansión MX, Clausura",liga-de-expansion-mx-clausura,Mexico
622,Gulf Cup,gulf-cup,Asia
21889,Reykjavík Cup,reykjavik-cup,Iceland
1191,Ghana Premier League,ghana-premier-league,Ghana
1032,Thai League 1,thai-league-1,Thailand
1634,Crown Prince Cup,crown-prince-cup,Saudi Arabia
14688,Egyptian Supercup,super-cup,Egypt
224,Slovakia League Two,2-liga,Slovakia
1384,"Serie D, Girone F",serie-d-girone-f,Italy
