PLAYERID,PLAYER_SLUG,WEAKNESSES
836959,josh-koroma,Aerial duels
994543,tyreece-simpson,Aerial duels
994543,tyreece-simpson,Ground duels
994543,tyreece-simpson,Ball control
911039,sorba-thomas,Passing
911039,sorba-thomas,Aerial duels
911039,sorba-thomas,Ball control
826063,lasse-sorensen,Passing
826063,lasse-sorensen,Long balls
839392,david-kasumu,Aerial duels
1138933,brodie-spencer,Long balls
1138933,brodie-spencer,Passing
1009739,ben-jackson,Long balls
1009739,ben-jackson,Passing
1020732,jaheim-headley,Ball control
1009729,austerfield-josh,Passing
351726,michal-helik,Long balls
216584,matthew-pearson,Passing
216584,matthew-pearson,Long balls
151508,oliver-turton,Long balls
354172,jordan-hugill,Ball control
354172,jordan-hugill,Passing
864495,sam-nombe,Ball control
864495,sam-nombe,Passing
864495,sam-nombe,Aerial duels
920424,joe-powell,Passing
920424,joe-powell,Long balls
888549,cohen-bramall,Long balls
888549,cohen-bramall,Passing
816761,hakeem-odofin,Passing
816761,hakeem-odofin,Long balls
556774,zak-jules,Long balls
823984,lautaro-martinez,Ball control
965008,sebastiano-esposito,Aerial duels
893643,eddie-salcedo,Ball control
1156616,francesco-pio-esposito,Passing
1156616,francesco-pio-esposito,Ball control
973290,tajon-buchanan,Ball control
1000292,alessandro-fontanarosa,Discipline
1402149,alessandro-silvestro,Discipline
39070,olivier-giroud,Passing
930191,lorenzo-colombo,Aerial duels
930191,lorenzo-colombo,Ball control
1101161,marco-nasti,Discipline
1101161,marco-nasti,Ball control
817957,christian-pulisic,Aerial duels
817957,christian-pulisic,Ball control
893549,tijjani-reijnders,Aerial duels
788255,fikayo-tomori,Discipline
1095023,pellegrino-marco,Long balls
176301,marco-sportiello,Error proneness
832208,dusan-vlahovic,Ball control
1082406,matias-soule,Aerial duels
1085103,facundo-gonzalez,Discipline
867734,gianluca-frabotta,Long balls
824200,ademola-lookman,Ball control
807301,gianluca-scamacca,Ball control
807301,gianluca-scamacca,Passing
324353,aleksei-miranchuk,Ball control
982615,el-bilal-toure,Ball control
958982,roberto-piccoli,Ground duels
958982,roberto-piccoli,Ball control
864898,nicolo-zaniolo,Ball control
864898,nicolo-zaniolo,Discipline
856638,mitchel-bakker,Long balls
82943,rafael-toloi,Discipline
754698,ben-godfrey,Long balls
1001847,giorgio-cittadini,Discipline
917007,joshua-zirkzee,Ball control
1116577,santiago-castro,Ball control
826064,jens-odgaard,Ball control
1121578,antonio-raimondo,Aerial duels
1121578,antonio-raimondo,Ball control
1085555,nicola-bagnolini,Error proneness
1085555,nicola-bagnolini,Long shots saving
256219,paulo-dybala,Ball control
610766,tammy-abraham,Passing
792283,eldor-shomurodov,Aerial duels
792283,eldor-shomurodov,Ball control
255389,leandro-paredes,Discipline
848355,angelino,Long balls
877013,valentin-castellanos,Passing
976381,gustav-isaksen,Ball control
1004505,loum-tchaouna,Aerial duels
1069244,tijjani-noslin,Ball control
164511,jean-daniel-akpa-akpro,Discipline
826186,luca-pellegrini,Discipline
217784,patric,Aerial duels
812946,christian-kouame,Ball control
962029,lucas-beltran,Aerial duels
962029,lucas-beltran,Ball control
788061,mbala-nzola,Ball control
788061,mbala-nzola,Ground duels
960307,louis-munteanu,Ball control
1050695,filippo-distefano,Aerial duels
359272,sofyan-amrabat,Discipline
1101992,bianco-alessandro,Discipline
970938,niccolo-pierozzi,Discipline
970938,niccolo-pierozzi,Long balls
972567,lucchesi-lorenzo,Long balls
38162,duvan-zapata,Passing
38162,duvan-zapata,Ball control
357596,nikola-vlasic,Aerial duels
1012248,demba-seck,Finishing
